fieldID,fieldName,fieldType,defaultValue,secondaryValue,fieldDescription,minValue,maxValue,tab
gd_tokens_max,Tokens at max stakes,Int,90,,Tokens the token symbol pays at max stakes.,1,1000,Payouts
gd_header_odds,Odds,Header,Odds,,,,,Odds
gd_hit_low,Chance a reel pays - low stakes,Int,16,,"Percent chance that one reel lands on something rather than busting. Each reel is rolled on its own, so five reels get five of these.",1,100,Odds
gd_hit_mid,Chance a reel pays - mid stakes,Int,20,,Percent chance that one reel lands on something rather than busting.,1,100,Odds
gd_hit_high,Chance a reel pays - high stakes,Int,26,,Percent chance that one reel lands on something rather than busting.,1,100,Odds
gd_hit_max,Chance a reel pays - max stakes,Int,32,,Percent chance that one reel lands on something rather than busting.,1,100,Odds
gd_header_tokens,Buying tokens,Header,Buying tokens,,,,,Odds
gd_ship_tokens_per_fp,Tokens per fleet point,Double,1.5,,"What the croupier pays for a ship, per fleet point. At 1.5 a Kite is about 5 tokens, a Hammerhead 15 and an Onslaught 45. Each d-mod knocks 10 percent off.",0.1,20,Odds
gd_pachinko_header_cost,Ball prices,Header,Ball prices,,,,,Pachinko
gd_pachinko_cost_hullmods,Hullmod ball price,Int,4,,Tokens paid for one ball on the hullmod board.,1,1000,Pachinko
gd_pachinko_cost_weapons,Weapon ball price,Int,2,,Tokens paid for one ball on the weapon board.,1,1000,Pachinko
gd_pachinko_token_price,Token ball price,Int,1,,Tokens paid for one ball on the token board.,1,1000,Pachinko
gd_pachinko_anime_mode,Anime mode,Boolean,false,,Show an anime background. Reopen Pachinko to apply.,,,Pachinko
gd_pachinko_cost_credits,Credit ball price,Int,2,,Tokens paid for one ball on the credit board.,1,1000,Pachinko
gd_pachinko_header_tokens,Token pockets,Header,Token pockets,,,,,Pachinko
gd_pachinko_token_pocket_0,Tokens - centre pocket,Int,0,,Tokens paid by the centre pocket.,0,100,Pachinko
gd_pachinko_token_pocket_1,Tokens - one from centre,Int,1,,Tokens paid one pocket from the centre.,0,100,Pachinko
gd_pachinko_token_pocket_2,Tokens - two from centre,Int,1,,Tokens paid two pockets from the centre.,0,100,Pachinko
gd_pachinko_token_pocket_3,Tokens - three from centre,Int,1,,Tokens paid three pockets from the centre.,0,100,Pachinko
gd_pachinko_token_pocket_4,Tokens - four from centre,Int,3,,Tokens paid four pockets from the centre.,0,100,Pachinko
gd_pachinko_token_pocket_5,Tokens - outer pockets,Int,12,,Tokens paid at either edge.,0,100,Pachinko
gd_pachinko_header_credits,Credit pockets,Header,Credit pockets,,,,,Pachinko
gd_pachinko_credit_pocket_0,Credits - centre pocket,Int,0,,Credits paid by the centre pocket.,0,2000000,Pachinko
gd_pachinko_credit_pocket_1,Credits - one from centre,Int,500,,Credits paid one pocket from the centre.,0,2000000,Pachinko
gd_pachinko_credit_pocket_2,Credits - two from centre,Int,2500,,Credits paid two pockets from the centre.,0,2000000,Pachinko
gd_pachinko_credit_pocket_3,Credits - three from centre,Int,10000,,Credits paid three pockets from the centre.,0,2000000,Pachinko
gd_pachinko_credit_pocket_4,Credits - four from centre,Int,50000,,Credits paid four pockets from the centre.,0,2000000,Pachinko
gd_pachinko_credit_pocket_5,Credits - outer pockets,Int,200000,,Credits paid at either edge.,0,2000000,Pachinko
gd_pachinko_header_pockets,Weapon pockets,Header,Weapon pockets,,,,,Pachinko
gd_pachinko_pocket_0,Weapons - centre pocket,Int,0,,Weapons paid by the centre pocket.,0,100,Pachinko
gd_pachinko_pocket_1,Weapons - one from centre,Int,1,,Weapons paid one pocket from the centre.,0,100,Pachinko
gd_pachinko_pocket_2,Weapons - two from centre,Int,2,,Weapons paid two pockets from the centre.,0,100,Pachinko
gd_pachinko_pocket_3,Weapons - three from centre,Int,4,,Weapons paid three pockets from the centre.,0,100,Pachinko
gd_pachinko_pocket_4,Weapons - four from centre,Int,8,,Weapons paid four pockets from the centre.,0,100,Pachinko
gd_pachinko_pocket_5,Weapons - outer pockets,Int,16,,Weapons paid at either edge.,0,100,Pachinko
gd_pachinko_header_hullmods,Hullmod pockets,Header,Hullmod pockets,,,,,Pachinko
gd_pachinko_hullmod_pocket_0,Hullmods - centre pocket,Int,0,,Blueprints paid by the centre pocket.,0,100,Pachinko
gd_pachinko_hullmod_pocket_1,Hullmods - one from centre,Int,0,,Blueprints paid one pocket from the centre.,0,100,Pachinko
gd_pachinko_hullmod_pocket_2,Hullmods - two from centre,Int,0,,Blueprints paid two pockets from the centre.,0,100,Pachinko
gd_pachinko_hullmod_pocket_3,Hullmods - three from centre,Int,1,,Blueprints paid three pockets from the centre.,0,100,Pachinko
gd_pachinko_hullmod_pocket_4,Hullmods - four from centre,Int,1,,Blueprints paid four pockets from the centre.,0,100,Pachinko
gd_pachinko_hullmod_pocket_5,Hullmods - outer pockets,Int,1,,Blueprints paid at either edge of the board.,0,100,Pachinko
gd_jackpot_header,Match rates,Header,Match rates,,,,,Relic Jackpot
gd_jackpot_match_2,Match chance - 2 tokens per reel,Int,15,,Percent of pulls that award one item from the 2-token tier.,0,100,Relic Jackpot
gd_jackpot_match_4,Match chance - 4 tokens per reel,Int,20,,Percent of pulls that award one item from the 4-token tier.,0,100,Relic Jackpot
gd_jackpot_match_8,Match chance - 8 tokens per reel,Int,25,,Percent of pulls that award one item from the 8-token tier.,0,100,Relic Jackpot
